Codigo,Descripcion,Descadicional,Familia,Codbarra,marca
0701004090,6226MK  MEDIAS MK,SOQUETES,MEDIAS,6226MK,mkmedias
0701004100,6229MK  MEDIAS MK,SOQUETES,MEDIAS,6229MK,mkmedias
0701004110,6234MK  MEDIAS MK,SOQUETES,MEDIAS,6234MK,mkmedias
0701004120,6235MK  MEDIAS MK,SOQUETES,MEDIAS,6235MK,mkmedias
0701004130,6236MK  PACK X2 MEDIAS MK,SOQUETES,MEDIAS,6236MK,mkmedias
0701004140,6237MK  PACK X2 MEDIAS MK,SOQUETES,MEDIAS,6237MK,mkmedias
0701004150,6239MK PACK X2 MEDIAS MK,SOQUETES,MEDIAS,6239MK,mkmedias
0701004160,6240MK  MEDIAS MK,SOQUETES,MEDIAS,6240MK,mkmedias
0701004170,6241MK  MEDIAS MK,SOQUETES,MEDIAS,6241MK,mkmedias
0701004180,6242MK  MEDIAS MK,SOQUETES,MEDIAS,6242MK,mkmedias
0701004190,6243MK  MEDIAS MK,SOQUETES,MEDIAS,6243MK,mkmedias
0701004200,6246MK  MEDIAS MK,SOQUETES,MEDIAS,6246MK,mkmedias
0701004210,6247MK  MEDIAS MK,SOQUETES,MEDIAS,6247MK,mkmedias
0701004220,6248MK  MEDIAS MK,SOQUETES,MEDIAS,6248MK,mkmedias
0701004230,62500MK MEDIAS MK,SOQUETES,MEDIAS,62500MK,mkmedias
0701004240,62501MK MEDIAS,SOQUETES,MEDIAS,62501MK,mkmedias
0701004250,62502MK MEDIAS,SOQUETES,MEDIAS,62502MK,mkmedias
0701004260,62503MK MEDIAS,SOQUETES,MEDIAS,62503MK,mkmedias
0701004270,62504MK MEDIAS,SOQUETES,MEDIAS,62504MK,mkmedias
0701004280,62505MK MEDIAS,SOQUETES,MEDIAS,62505MK,mkmedias
0701004290,62506MK MEDIAS CAÑA RAYADO,SOQUETES,MEDIAS,62506MK,mkmedias
0701004300,6250MK MEDIAS CAÑA PTO MORLEY,SOQUETES,MEDIAS,6250MK,mkmedias
0701004310,6256MK  MEDIAS,SOQUETES,MEDIAS,6256MK,mkmedias
0701004320,6257MK  MEDIAS,SOQUETES,MEDIAS,6257MK,mkmedias
0701004330,6267MK  MEDIAS,SOQUETES,MEDIAS,6267MK,mkmedias
0701004340,6268MK  MEDIAS MK,SOQUETES,MEDIAS,6268MK,mkmedias
0701004350,6272MK  MEDIAS MK,SOQUETES,MEDIAS,6272MK,mkmedias
