virtuemart_product_id,product_name,product_sku,product_parent_sku,slug,VM_MULTIVARIANT_FIELD_LABEL1,Color,multi_variant_title,multi_variant_fields,product_price,published,,
,TIENTO-Art:2107T,0101199030,0101177530,TIENTO-Art 2107T-0101199030,T105,BLANCO,,,1.0,Y,,
,TIENTO-Art:2107T,0101177590,0101177530,TIENTO-Art 2107T-0101177590,T105,NEGRO,,,1.0,Y,,
,TIENTO-Art:2107T,0101177560,0101177530,TIENTO-Art 2107T-0101177560,T110,BLANCO,,,1.0,Y,,
,TIENTO-Art:2107T,0101199020,0101177530,TIENTO-Art 2107T-0101199020,T110,BLANCO,,,1.0,Y,,
,TIENTO-Art:2107T,0101177600,0101177530,TIENTO-Art 2107T-0101177600,T110,NEGRO,,,1.0,Y,,
,TIENTO-Art:212T,0101148700,,TIENTO-Art 212T-0101148700,CONJUNTO,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,N,Lenceria de Mujer/Tiento,CONJUNTO TIENTO-Art:212T<br />CONJUNTO - VARIOS
2723,TIENTO-Art:215T,0101137200,,TIENTO-Art 215T-0101137200,T1,NOUGAT,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Mujer/Tiento,"CONJUNTO TIENTO-Art:215T<br />CONJUNTO TAZA SOFT Y COLA LESS DE MICROFIBRA ESTAMPADA<br />
Talles: 1 - 2 - 3 - 4 <br />
 Colores: NOUGAT"
,TIENTO-Art:215T,0101137210,0101137200,TIENTO-Art 215T-0101137210,T2,NOUGAT,,,1.0,Y,,
,TIENTO-Art:215T,0101137220,0101137200,TIENTO-Art 215T-0101137220,T3,NOUGAT,,,1.0,Y,,
,TIENTO-Art:215T,0101137230,0101137200,TIENTO-Art 215T-0101137230,T4,NOUGAT,,,1.0,Y,,
,TIENTO-Art:215T,0101148710,0101137200,TIENTO-Art 215T-0101148710,TIENTO,CONJ.,,,1.0,N,,
