Codart,Descripcion,Desc_adic,Familia,Codbarra,MARCELA KOURY
0101098750,5324MK T100 BLANCO,CONJUNTO,LENCERIA,53240501,MARCELA KOURY
0101098760,5324MK T100 NEGRO,CONJUNTO,LENCERIA,53240503,MARCELA KOURY
0101098770,5324MK T100 NOUGAT,CONJUNTO,LENCERIA,53240528,MARCELA KOURY
0101098780,5328MK T85 BLANCO,CONJUNTO,LENCERIA,53280201,MARCELA KOURY
0101098790,5328MK T90 BLANCO,CONJUNTO,LENCERIA,53280301,MARCELA KOURY
0101098800,5328MK T90 NEGRO,CONJUNTO,LENCERIA,53280303,MARCELA KOURY
0101098810,5328MK T90 NOUGAT,CONJUNTO,LENCERIA,53280328,MARCELA KOURY
0101098820,5328MK T95 BLANCO,CONJUNTO,LENCERIA,53280401,MARCELA KOURY
0101098830,5328MK T95 NEGRO,CONJUNTO,LENCERIA,53280403,MARCELA KOURY
0101098840,5328MK T95 NOUGAT,CONJUNTO,LENCERIA,53280428,MARCELA KOURY
0101098850,5328MK T100 BLANCO,CONJUNTO,LENCERIA,53280501,MARCELA KOURY
0101098860,5328MK T100 NEGRO,CONJUNTO,LENCERIA,53280503,MARCELA KOURY
0101098870,5328MK T100 NOUGAT,CONJUNTO,LENCERIA,53280528,MARCELA KOURY
0101098880,5328MK T105 BLANCO,CONJUNTO,LENCERIA,53280601,MARCELA KOURY
0101098890,5328MK T105 NEGRO,CONJUNTO,LENCERIA,53280603,MARCELA KOURY
0101098900,5328MK T105 NOUGAT,CONJUNTO,LENCERIA,53280628,MARCELA KOURY
0101098910,5349MK T85 NEGRO,CONJUNTO,LENCERIA,53490203,MARCELA KOURY
0101098920,5349MK T85 LAVANDA,CONJUNTO,LENCERIA,53490225,MARCELA KOURY
0101098930,5349MK T85 NOUGAT,CONJUNTO,LENCERIA,53490228,MARCELA KOURY
0101098940,5349MK T90 NEGRO,CONJUNTO,LENCERIA,53490303,MARCELA KOURY
0101098950,5349MK T90 LAVANDA,CONJUNTO,LENCERIA,53490325,MARCELA KOURY
0101098960,5349MK T90 NOUGAT,CONJUNTO,LENCERIA,53490328,MARCELA KOURY
0101098970,5349MK T95 NEGRO,CONJUNTO,LENCERIA,53490403,MARCELA KOURY
0101098980,5349MK T95 LAVANDA,CONJUNTO,LENCERIA,53490425,MARCELA KOURY
0101098990,5349MK T95 NOUGAT,CONJUNTO,LENCERIA,53490428,MARCELA KOURY
0101099000,5349MK T100 NEGRO,CONJUNTO,LENCERIA,53490503,MARCELA KOURY
0101099010,5349MK T100 LAVANDA,CONJUNTO,LENCERIA,53490525,MARCELA KOURY
0101099020,5349MK T100 NOUGAT,CONJUNTO,LENCERIA,53490528,MARCELA KOURY
0101099030,5350MK T85 NEGRO,CONJUNTO,LENCERIA,53500203,MARCELA KOURY
0101099040,5350MK T85 LAVANDA,CONJUNTO,LENCERIA,53500225,MARCELA KOURY
0101099050,5350MK T85 NOUGAT,CONJUNTO,LENCERIA,53500228,MARCELA KOURY
0101099060,5350MK T90 NEGRO,CONJUNTO,LENCERIA,53500303,MARCELA KOURY
0101099070,5350MK T90 LAVANDA,CONJUNTO,LENCERIA,53500325,MARCELA KOURY
0101099080,5350MK T90 NOUGAT,CONJUNTO,LENCERIA,53500328,MARCELA KOURY
0101099090,5350MK T95 NEGRO,CONJUNTO,LENCERIA,53500403,MARCELA KOURY
0101099100,5350MK T95 LAVANDA,CONJUNTO,LENCERIA,53500425,MARCELA KOURY
0101099110,5350MK T95 NOUGAT,CONJUNTO,LENCERIA,53500428,MARCELA KOURY
0101099120,5350MK T100 NEGRO,CONJUNTO,LENCERIA,53500503,MARCELA KOURY
0101099130,5350MK T100 LAVANDA,CONJUNTO,LENCERIA,53500525,MARCELA KOURY
0101099140,5350MK T100 NOUGAT,CONJUNTO,LENCERIA,53500528,MARCELA KOURY
0101099150,5365MK T85 BLANCO,CONJUNTO,LENCERIA,53650201,MARCELA KOURY
0101099160,5365MK T85 HUESO,CONJUNTO,LENCERIA,53650202,MARCELA KOURY
0101099170,5365MK T85 NEGRO,CONJUNTO,LENCERIA,53650203,MARCELA KOURY
