codigo,Descripcion,Desc_adicional,Familia,agrupacion,Cod_barras
0201031440,1387XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13873004
0201031450,1387XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13874001
0201031460,1387XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13875008
0201031470,1387XY  TXXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13876005
0201031480,1388XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13881009
0201031490,1388XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13882006
0201031500,1388XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13883003
0201031510,1388XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13884000
0201031520,1388XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13885007
0201031530,1389XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13891008
0201031540,1389XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13892005
0201031550,1389XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13893002
0201031560,1389XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13894009
0201031570,1389XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13895006
0201031580,1390XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13901004
0201031590,1390XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13902001
0201031600,1390XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13903008
0201031610,1390XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13904005
0201031620,1390XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13905002
0201031630,1396XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13961008
0201031640,1396XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13962005
0201031650,1396XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13963002
0201031660,1396XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13964009
0201031670,1396XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13965006
0201031680,1397XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13971007
0201031690,1397XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13972004
0201031700,1397XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13973001
0201031710,1397XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13974008
0201031720,1397XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13975005
0201031730,1600XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,16001008
0201031740,1600XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,16002005
0201031750,1600XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,16003002
0201031760,1600XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,16004009
0201031770,1600XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,16005006
0201031780,2150XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,21501005
0201031790,2150XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,21502002
0201031800,2150XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,21503009
0201031810,2150XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,21504006
0201031820,2150XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,21505003
0201031830,3680XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,36801008
0201031840,3680XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,36802005
0201031850,3680XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,36803002
0201031860,3680XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,36804009
0201031870,3680XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,36805006
0201031880,3690XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,36901005
0201031890,3690XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,36902002
0201031900,3690XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,36903009
0201031910,3690XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,36904006
0201031920,3690XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,36905003
0201031930,3900XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,39001009
0201031940,3900XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,39002006
0201031950,3900XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,39003003
0201031960,3900XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,39004000
0201031970,3900XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,39005007
0201031980,3901XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,39011008
0201031990,3901XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,39012005
0201032000,3901XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,39013002
0201032010,3901XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,39014009
0201032020,3901XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,39015006
0201032030,3902XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,39021007
0201032040,3902XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,39022004
0201032050,3902XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,39023001
0201032060,3902XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,39024008
0201032070,3902XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,39025005
0201032080,3903XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,39031006
0201032090,3903XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,39032003
0201032100,3903XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,39033000
0201032110,3903XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,39034007
0201032120,3903XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,39035004
0201032130,3904XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,39041005
