Codart,Descripcion,Descadicional,Familia,Codbarras,Descagrupacion,marca
0401001250,SAS ARCOIRIS 180 MIXTO JDX TON,AMI18JDXR1TONY,BLANQUERIA,7794170014044,SABANA,arcoiris
0401001260,SAS ARCOIRIS 180 MIXTO JDX VIT,AMI18JDXR1VITO,BLANQUERIA,7794170014051,SABANA,arcoiris
0401001270,SABANA ARCOIRIS 180 100% 2 1/2,AIA18JDCR1ALEX,BLANQUERIA,7794170017731,SABANA,arcoiris
0401001280,SABANA ARCOIRIS 180 100% 2 1/2,AIA18JDCR1COLIN,BLANQUERIA,7794170017748,SABANA,arcoiris
0401001290,SABANA ARCOIRIS 180 100% 2 1/2,AIA18JDCR1KELA,BLANQUERIA,7794170017755,SABANA,arcoiris
0401001300,SABANA ARCOIRIS 180 100% 2 1/2,AIA18JDCR1LARA,BLANQUERIA,7794170017762,SABANA,arcoiris
0401001310,SABANA ARCOIRIS 180 100% 2 1/2,AIA18JDCR1PORTO,BLANQUERIA,7794170017786,SABANA,arcoiris
0401001320,SABANA ARCOIRIS 180 100% KING,AIA18JDKR1ALEX,BLANQUERIA,7794170017793,SABANA,arcoiris
0401001330,SABANA ARCOIRIS 180 100% KING,AIA18JDKR1COLIN,BLANQUERIA,7794170017809,SABANA,arcoiris
0401001340,SABANA ARCOIRIS 180 100% KING,AIA18JDKR1KELA,BLANQUERIA,7794170017816,SABANA,arcoiris
0401001350,SABANA ARCOIRIS 180 100% KING,AIA18JDKR1LARA,BLANQUERIA,7794170017823,SABANA,arcoiris
0401001360,SABANA ARCOIRIS 180 100% KING,AIA18JDKR1PORTO,BLANQUERIA,7794170017847,SABANA,arcoiris
0401001370,SABANA ARCOIRIS 180 100% QUEEN,AIA18JDQR1ALEX,BLANQUERIA,7794170017854,SABANA,arcoiris
0401001380,SABANA ARCOIRIS 180 100% QUEEN,AIA18JDQR1COLIN,BLANQUERIA,7794170017861,SABANA,arcoiris
0401001390,SABANA ARCOIRIS 180 100% QUEEN,AIA18JDQR1KELA,BLANQUERIA,7794170017878,SABANA,arcoiris
0401001400,SABANA ARCOIRIS 180 100% QUEEN,AIA18JDQR1LARA,BLANQUERIA,7794170017885,SABANA,arcoiris
0401001410,SABANA ARCOIRIS 180 100% QUEEN,AIA18JDQR1PORTO,BLANQUERIA,7794170017908,SABANA,arcoiris
0401001420,SABANA ARCOIRIS 180 100% TWIN,AIA18JDXR1ALEX,BLANQUERIA,7794170017915,SABANA,arcoiris
0401001430,SABANA ARCOIRIS 180 100% TWIN,AIA18JDXR1COLIN,BLANQUERIA,7794170017922,SABANA,arcoiris
0401001440,SABANA ARCOIRIS 180 100% TWIN,AIA18JDXR1KELA,BLANQUERIA,7794170017939,SABANA,arcoiris
0401001450,SABANA ARCOIRIS 180 100% TWIN,AIA18JDXR1LARA,BLANQUERIA,7794170017946,SABANA,arcoiris
0401001460,SABANA ARCOIRIS 180 100% TWIN,AIA18JDXR1PORTO,BLANQUERIA,7794170017960,SABANA,arcoiris
0401001470,SABANA ARCOIRIS 180 KIDS TWIN,AIJ18JDXR1JACK,BLANQUERIA,7794170017977,SABANA,arcoiris
0401001480,SABANA ARCOIRIS 180 JUNIOR TWI,AIJ18JDXR1LUCIA,BLANQUERIA,7794170017984,SABANA,arcoiris
0401001490,SABANA ARCOIRIS 180 JUNIOR TWI,AIJ18JDXR1RYAN,BLANQUERIA,7794170017991,SABANA,arcoiris
0401001500,SABANA ARCOIRIS 180 KIDS TWIN,AIJ18JDXR2MALIA,BLANQUERIA,7794170018004,SABANA,arcoiris
0401001510,SABANA ARCOIRIS 180 MIXTO 2 1/,AMI18JDCR1CHAD,BLANQUERIA,7794170018011,SABANA,arcoiris
0401001520,SABANA ARCOIRIS 180 MIXTO 2 1/,AMI18JDCR1DORIAN,BLANQUERIA,7794170018028,SABANA,arcoiris
0401001530,SABANA ARCOIRIS 180 MIXTO 2 1/,AMI18JDCR1EMMA,BLANQUERIA,7794170018035,SABANA,arcoiris
0401001540,SABANA ARCOIRIS 180 MIXTO 2 1/,AMI18JDCR1FRANCI,BLANQUERIA,7794170018042,SABANA,arcoiris
0401001550,SABANA ARCOIRIS 180 MIXTO 2 1/,AMI18JDCR1NURIA,BLANQUERIA,7794170018059,SABANA,arcoiris
0401001560,SABANA ARCOIRIS 180 MIXTO 2 1/,AMI18JDCR1WEST,BLANQUERIA,7794170018066,SABANA,arcoiris
0401001570,SABANA ARCOIRIS 180 MIXTO KING,AMI18JDKR1CHAD,BLANQUERIA,7794170018073,SABANA,arcoiris
0401001580,SABANA ARCOIRIS 180 MIXTO KING,AMI18JDKR1DORIAN,BLANQUERIA,7794170018080,SABANA,arcoiris
0401001590,SABANAS ARCOIRIS EMMA KING,AMI18JDKR1EMMA,BLANQUERIA,7794170018097,SABANA,arcoiris
0401001600,SABANA ARCOIRIS 180 MIXTO KING,AMI18JDKR1FRANCI,BLANQUERIA,7794170018103,SABANA,arcoiris
0401001610,SABANA ARCOIRIS 180 MIXTO KING,AMI18JDKR1NURIA,BLANQUERIA,7794170018110,SABANA,arcoiris
0401001620,SABANA ARCOIRIS 180 MIXTO KING,AMI18JDKR1WEST,BLANQUERIA,7794170018127,SABANA,arcoiris
