Cod_art,Descripcion,Desc_adicional,Familia,Cod_barras,marca
0101030080,170C T105 BLANCO,CONJUNTO,LENCERIA,223170001105,coramina
0101030090,170C T85 NEGRO,CONJUNTO,LENCERIA,223170002085,coramina
0101030100,170C T90 NEGRO,CONJUNTO,LENCERIA,223170002090,coramina
0101030110,170C T95 NEGRO,CONJUNTO,LENCERIA,223170002095,coramina
0101030120,170C T100 NEGRO,CONJUNTO,LENCERIA,223170002100,coramina
0101030130,170C T105 NEGRO,CONJUNTO,LENCERIA,223170002105,coramina
0101030140,170C T85 AVELLANA,CONJUNTO,LENCERIA,223170003085,coramina
0101030150,170C T90 AVELLANA,CONJUNTO,LENCERIA,223170003090,coramina
0101030160,170C T95 AVELLANA,CONJUNTO,LENCERIA,223170003095,coramina
0101030170,170C T100 AVELLANA,CONJUNTO,LENCERIA,223170003100,coramina
0101030180,170C T105 AVELLANA,CONJUNTO,LENCERIA,223170003105,coramina
0101030190,170C T85 HUESO,CONJUNTO,LENCERIA,223170004085,coramina
0101030200,170C T90 HUESO,CONJUNTO,LENCERIA,223170004090,coramina
0101030210,170C T95 HUESO,CONJUNTO,LENCERIA,223170004095,coramina
0101030220,170C T100 HUESO,CONJUNTO,LENCERIA,223170004100,coramina
0101030230,170C T105 HUESO,CONJUNTO,LENCERIA,223170004105,coramina
0101030240,170C T85 ROJO,CONJUNTO,LENCERIA,223170007085,coramina
0101030250,170C T90 ROJO,CONJUNTO,LENCERIA,223170007090,coramina
0101030260,170C T95 ROJO,CONJUNTO,LENCERIA,223170007095,coramina
0101030270,170C T100 ROJO,CONJUNTO,LENCERIA,223170007100,coramina
0101030280,170C T105 ROJO,CONJUNTO,LENCERIA,223170007105,coramina
0101030290,171C T80 CTE/GRIS,CONJUNTO,LENCERIA,223171066080,coramina
0101030300,171C T85 CTE/GRIS,CONJUNTO,LENCERIA,223171066085,coramina
0101030310,171C T90 CTE/GRIS,CONJUNTO,LENCERIA,223171066090,coramina
0101030320,171C T95 CTE/GRIS,CONJUNTO,LENCERIA,223171066095,coramina
0101030330,171C T100 CTE/GRIS,CONJUNTO,LENCERIA,223171066100,coramina
0101030340,171C T80 BCO/GRIS,CONJUNTO,LENCERIA,223171080080,coramina
0101030350,171C T85 BCO/GRIS,CONJUNTO,LENCERIA,223171080085,coramina
0101030360,171C T90 BCO/GRIS,CONJUNTO,LENCERIA,223171080090,coramina
0101030370,171C T95 BCO/GRIS,CONJUNTO,LENCERIA,223171080095,coramina
0101030380,171C T100 BCO/GRIS,CONJUNTO,LENCERIA,223171080100,coramina
0101030390,171C T80 RSA/GRIS,CONJUNTO,LENCERIA,223171083080,coramina
0101030400,171C T85 RSA/GRIS,CONJUNTO,LENCERIA,223171083085,coramina
0101030410,171C T90 RSA/GRIS,CONJUNTO,LENCERIA,223171083090,coramina
0101030420,171C T95 RSA/GRIS,CONJUNTO,LENCERIA,223171083095,coramina
0101030430,171C T100 RSA/GRIS,CONJUNTO,LENCERIA,223171083100,coramina
0101030440,171C T80 HSO/AVE,CONJUNTO,LENCERIA,223171102080,coramina
0101030450,171C T85 HSO/AVE,CONJUNTO,LENCERIA,223171102085,coramina
0101030460,171C T90 HSO/AVE,CONJUNTO,LENCERIA,223171102090,coramina
0101030470,171C T95 HSO/AVE,CONJUNTO,LENCERIA,223171102095,coramina
0101030480,171C T100 HSO/AVE,CONJUNTO,LENCERIA,223171102100,coramina
