CodArt,Descripcion,Desc_adicional,Familia,CodigoBarras,agrupacion,marca
0401008360,SABANA SANTISTA MANUEL 2 1/2,KAMXBJDC11MANUEL,BLANQUERIA,7892949842383,SABANA,santista
0401008420,SABANA SANTISTA 2 1/2 BLUSH,SA18BJDC11BLUSH,BLANQUERIA,7892949844042,SABANA,santista
0401008430,SABANA SANTISTA 2 1/2 OLIVE,SA18BJDC11OLIVE,BLANQUERIA,7892949844073,SABANA,santista
0401008440,SABANA SANTISTA 2 1/2 AMPARO,SA18BJDC11AMPARO,BLANQUERIA,7892949844035,SABANA,santista
0401008460,SABANA SANTISTA 2 1/2 MALTA,SA18BJDC11MALTA,BLANQUERIA,7892949844066,SABANA,santista
0401008470,SABANA SANTISTA 2 1/2 LARS,SA18BJDC11LARS,BLANQUERIA,7892949844059,SABANA,santista
0401008480,SABANA SANTISTA 2 1/2 LORENZ,SA18BJDCLORENZ,BLANQUERIA,7892949844080,SABANA,santista
0401008620,SABANA SANTISTA 2 1/2 GLORIA,KAMXBJDC11GLORIA,BLANQUERIA,7892949842369,SABANA,santista
0402004460,TO UNIQUE WORK  JBA BORDO 4069,SP500JBARWOR4069,BLANQUERIA,7794170000795,TOALLA,santista
0402004470,TO UNIQUE WORK  JRO BORDO 4069,SP500JRORWOR4069,BLANQUERIA,7794170000849,TOALLA,santista
0402004480,TO UNIQUE WORK  JRO AZUL 6261,SP500JRORWOR6261,BLANQUERIA,7794170000856,TOALLA,santista
0402004490,TO UNIQUE WORK  JRO PETROLEO 6,SP500JRORWOR6509,BLANQUERIA,7794170000863,TOALLA,santista
0402004500,TO SANTISTA CLAS MIA TRO NEGRO,SACLATRORMIA9900,BLANQUERIA,7794170001341,TOALLA,santista
0402004510,TO CLASSIC MIA AZUL 6122,SACLATRORMIA6122,BLANQUERIA,7794170001358,TOALLA,santista
0402004520,TO SANTISTA CLAS MIA TBA NEGRO,SACLATBARMIA9900,BLANQUERIA,7794170001396,TOALLA,santista
0402004530,TOA CLASSIC MIA AZUL 6122,SACLATBARMIA6122,BLANQUERIA,7794170001402,TOALLA,santista
0402004690,TO CLASSIC MIA ESMERALDA 7775,SACLATRORMIA7775,BLANQUERIA,7794170003529,TOALLA,santista
0402004700,TO CLASSIC MIA CURCUMA 8848,SACLATRORMIA8848,BLANQUERIA,7794170003536,TOALLA,santista
0402004710,TO CLASSIC MIA ROSA 3092,SACLATRORMIA3092,BLANQUERIA,7794170003543,TOALLA,santista
0402004720,TOA CLASSIC MIA ESMERALDA 7775,SACLATBARMIA7775,BLANQUERIA,7794170003550,TOALLA,santista
0402004730,TOA CLASSIC MIA CURCUMA 8848,SACLATBARMIA8848,BLANQUERIA,7794170003567,TOALLA,santista
0402004740,TOA CLASSIC MIA ROSA 3092,SACLATBARMIA3092,BLANQUERIA,7794170003574,TOALLA,santista
0402004930,TO JUEGO SANTISTA BRAKO AMARIL,SA400TJ2RBRA1060,BLANQUERIA,7794170003888,TOALLA,santista
0402004940,TO JUEGO SANTISTA BRAKO NARANJ,SA400TJ2RBRA3310,BLANQUERIA,7794170003895,TOALLA,santista
0402004950,TO JUEGO SANTISTA BRAKO LACRE,SA400TJ2RBRA3078,BLANQUERIA,7794170003901,TOALLA,santista
0402004960,TO JUEGO SANTISTA BRAKO VIOLET,SA400TJ2RBRA5525,BLANQUERIA,7794170003918,TOALLA,santista
0402004970,TO JUEGO SANTISTA BRAKO BLANCO,SA400TJ2RBRA0001,BLANQUERIA,7794170003925,TOALLA,santista
0402004980,TO JUEGO SANTISTA BRAKO VERDE,SA400TJ2RBRA7264,BLANQUERIA,7794170003932,TOALLA,santista
0402004990,TO JUEGO SANTISTA BRAKO AZUL 6,SA400TJ2RBRA6265,BLANQUERIA,7794170003949,TOALLA,santista
0402005000,TO JUEGO SANTISTA BRAKO TURQUE,SA400TJ2RBRA6117,BLANQUERIA,7794170003956,TOALLA,santista
0402009430,TOALLON PRATA DANTE VERDE 7278,SANPRTBAR7278DAN,BLANQUERIA,7794170003758,TOALLA,santista
0402009440,TOALLON PRATA DANTE PETROLEO 6,SANPRTBAR6331DAN,BLANQUERIA,7794170003765,TOALLA,santista
0402009450,TOALLA PRATA DANTE VERDE 7278,SANPRTROR7278DAN,BLANQUERIA,7794170003789,TOALLA,santista
0402009460,TOALLA PRATA DANTE PETROLEO 63,SANPRTROR6331DAN,BLANQUERIA,7794170003796,TOALLA,santista
0402009470,TO PRATA AMANDA JBA CIRUELA 31,SANPRJBARAMA3121,BLANQUERIA,7794170005035,TOALLA,santista
0402009480,TO PRATA AMANDA JBA CEREZA 400,SANPRJBARAMA4005,BLANQUERIA,7794170005042,TOALLA,santista
0402009490,TO PRATA AMANDA JBA AZUL 6367,SANPRJBARAMA6367,BLANQUERIA,7794170005073,TOALLA,santista
0402009500,TO PRATA DEBBY JBA 1 AMARILLO,SANPRJBAR1DEBBY,BLANQUERIA,7794170005080,TOALLA,santista
0402009510,TO PRATA DEBBY JBA 4 ACQUA,SANPRJBAR4DEBBY,BLANQUERIA,7794170005110,TOALLA,santista
0402009520,TO PRATA DEBBY JBA 5 CELESTE,SANPRJBAR5DEBBY,BLANQUERIA,7794170005127,TOALLA,santista
0402009530,TO PRATA DEBBY JRO 2 CORAL,SANPRJROR2DEBBY,BLANQUERIA,7794170005226,TOALLA,santista
0402009540,TOALLON PRATA HOLLY ACQUA 6052,SANPRTBAR6052HOL,BLANQUERIA,7794170005295,TOALLA,santista
