Codart,Descripcion,Descadic,Familia,CodBarra,agrupacion,marca
0402012040,TOALLA PALETTE URB GRID AMA,PAL42TRORGRI1093,BLANQUERIA,7794170028041,TOALLA,palette
0402012050,TOALLA PALETTE URB GRID ROSA,PAL42TRORGRI3440,BLANQUERIA,7794170028058,TOALLA,palette
0402012060,TOALLA PALETTE URB GRID AZUL,PAL42TRORGRI6662,BLANQUERIA,7794170028072,TOALLA,palette
0402012070,TOALLA PALETTE URB GRID MANZ,PAL42TRORGRI7336,BLANQUERIA,7794170028089,TOALLA,palette
0402012080,TOALLA PALETTE URB GRID ORQ,PAL42TRORGRID5552,BLANQUERIA,7794170028065,TOALLA,palette
0402012130,JUEGO PALETTE URB BORIS MALVA,PAL42TJ2RBOR31,BLANQUERIA,7794170027969,TOALLA,palette
0402012140,JUEGO PALETTE URB BORISTURQ,PAL42TJ2RBOR6652,BLANQUERIA,7794170027983,TOALLA,palette
0402012150,JUEGO PALETTE URB BORIS NAR,PAL42TJ2RBORD3310,BLANQUERIA,7794170027976,TOALLA,palette
0402012460,TOALLON PALETTE URB BLANCO,PAU44JBABAUR0001,BLANQUERIA,7892949628727,TOALLA,palette
0402012470,TOALLON PALETTE URB ROSA 3187,PAU44JBABAUR3187,BLANQUERIA,7892949628758,TOALLA,palette
0402012480,TOALLON PALETTE URB UVA 5115,PAU44JBABAUR5115,BLANQUERIA,7892949628840,TOALLA,palette
0402012490,TOALLON PALETTE URB CELESTE,PAU44JBABAUR6067,BLANQUERIA,7892949628857,TOALLA,palette
0402012500,TOALLON PALETTE URB BEIGE 8292,PAU44JBABAUR8292,BLANQUERIA,7892949628864,TOALLA,palette
0402012510,TOALLON PALETTE URB GRIS 9113,PAU44JBABAUR9113,BLANQUERIA,7892949628871,TOALLA,palette
0402012520,TOALLON PALETTE URB  SALMON,PAU44JBABPIX2006,BLANQUERIA,7892949628888,TOALLA,palette
0402012530,TOALLON PALETTE URB CEREZA,PAU44JBABPIX3128,BLANQUERIA,7892949628932,TOALLA,palette
0402012540,TOALLON PALETTE URB MARINO,PAU44JBABPIX6526,BLANQUERIA,7892949628949,TOALLA,palette
0402012550,TOALLON PALETTE URB AZUL 6600,PAU44JBABPIX6600,BLANQUERIA,7892949628963,TOALLA,palette
0402012560,TOALLON PALETTE URB MENTA 7508,PAU44JBABPIX7508,BLANQUERIA,7892949628970,TOALLA,palette
0402012570,TOALLON PALETTE URB GRIS 9139,PAU44JBABPIX9139,BLANQUERIA,7892949628994,TOALLA,palette
0402012580,TOALLA PALETTE URB BLANCO 0001,PAU44JROBAUR0001,BLANQUERIA,7892949629007,TOALLA,palette
0402012590,TOALLA PALETTE URB ROSA 3187,PAU44JROBAUR3187,BLANQUERIA,7892949629014,TOALLA,palette
0402012600,TOALLA PALETTE URB UVA 5115,PAU44JROBAUR5115,BLANQUERIA,7892949629083,TOALLA,palette
