Cod_articulo,Descripcion,Desc_adicional,Familia,Codigo_barras,marca
0201032270,5001XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,50015009,XY
0201032280,5002XY TS,BOXER,LINEA UNDERWARE HOMBRE,50021000,XY
0201032290,5002XY TM,BOXER,LINEA UNDERWARE HOMBRE,50022007,XY
0201032300,5002XY TL,BOXER,LINEA UNDERWARE HOMBRE,50023004,XY
0201032310,5002XY TXL,BOXER,LINEA UNDERWARE HOMBRE,50024001,XY
0201032320,5002XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,50025008,XY
0201032330,5050XY T10,BOXER,LINEA UNDERWARE HOMBRE,50501007,XY
0201032340,5050XY T12,BOXER,LINEA UNDERWARE HOMBRE,50501205,XY
0201032350,5050XY T2,BOXER,LINEA UNDERWARE HOMBRE,50502004,XY
0201032360,5050XY T4,BOXER,LINEA UNDERWARE HOMBRE,50504008,XY
0201032370,5050XY T6,BOXER,LINEA UNDERWARE HOMBRE,50506002,XY
0201032380,5050XY T8,BOXER,LINEA UNDERWARE HOMBRE,50508006,XY
0201032390,5053XY T10,BOXER,LINEA UNDERWARE HOMBRE,50531004,XY
0201032400,5053XY T12,BOXER,LINEA UNDERWARE HOMBRE,50531202,XY
0201032410,5053XY T2,BOXER,LINEA UNDERWARE HOMBRE,50532001,XY
0201032420,5053XY T4,BOXER,LINEA UNDERWARE HOMBRE,50534005,XY
0201032430,5053XY T6,BOXER,LINEA UNDERWARE HOMBRE,50536009,XY
0201032440,5053XY T8,BOXER,LINEA UNDERWARE HOMBRE,50538003,XY
0201032450,5054XY T10,BOXER,LINEA UNDERWARE HOMBRE,50541003,XY
0201032460,5054XY T12,BOXER,LINEA UNDERWARE HOMBRE,50541201,XY
0201032470,5054XY T2,BOXER,LINEA UNDERWARE HOMBRE,50542000,XY
0201032480,5054XY T4,BOXER,LINEA UNDERWARE HOMBRE,50544004,XY
0201032490,5054XY T6,BOXER,LINEA UNDERWARE HOMBRE,50546008,XY
0201032500,5054XY T8,BOXER,LINEA UNDERWARE HOMBRE,50548002,XY
0201032510,5055XY T10,BOXER,LINEA UNDERWARE HOMBRE,50551002,XY
0201032520,5055XY T12,BOXER,LINEA UNDERWARE HOMBRE,50551200,XY
0201032530,5055XY T2,BOXER,LINEA UNDERWARE HOMBRE,50552009,XY
0201032540,5055XY T4,BOXER,LINEA UNDERWARE HOMBRE,50554003,XY
0201032550,5055XY T6,BOXER,LINEA UNDERWARE HOMBRE,50556007,XY
0201032560,5055XY T8,BOXER,LINEA UNDERWARE HOMBRE,50558001,XY
0201032570,5100XY TS,BOXER,LINEA UNDERWARE HOMBRE,51001001,XY
0201032580,5100XY TM,BOXER,LINEA UNDERWARE HOMBRE,51002008,XY
0201032590,5100XY TL,BOXER,LINEA UNDERWARE HOMBRE,51003005,XY
0201032600,5100XY TXL,BOXER,LINEA UNDERWARE HOMBRE,51004002,XY
0201032610,5100XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,51005009,XY
0201032620,7000XY TS,BOXER,LINEA UNDERWARE HOMBRE,70001006,XY
0201032630,7000XY TM,BOXER,LINEA UNDERWARE HOMBRE,70002003,XY
0201032640,7000XY TL,BOXER,LINEA UNDERWARE HOMBRE,70003000,XY
0201032650,7000XY TXL,BOXER,LINEA UNDERWARE HOMBRE,70004007,XY
0201032660,7050XY PANTALON NIÑO,BOXER,LINEA UNDERWARE HOMBRE,70500004,XY
0201032670,7050XY TS,BOXER,LINEA UNDERWARE HOMBRE,70501001,XY
0201032680,7050XY T14,BOXER,LINEA UNDERWARE HOMBRE,70501407,XY
0201032690,7050XY TM,BOXER,LINEA UNDERWARE HOMBRE,70502008,XY
0201032700,7050XY TL,BOXER,LINEA UNDERWARE HOMBRE,70503005,XY
0201032710,7050XY TXL,BOXER,LINEA UNDERWARE HOMBRE,70504002,XY
0201032720,7050XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,70505009,XY
0201032730,8040XY TS,BOXER,LINEA UNDERWARE HOMBRE,80401001,XY
0201032740,8040XY TM,BOXER,LINEA UNDERWARE HOMBRE,80402008,XY
0201032750,8040XY TL,BOXER,LINEA UNDERWARE HOMBRE,80403005,XY
0201032760,8040XY TXL,BOXER,LINEA UNDERWARE HOMBRE,80404002,XY
0201032770,8040XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,80405009,XY
0201032780,1017XY BOXER NIÑO,BOXER,LINEA UNDERWARE HOMBRE,1017XY,XY
0201032790,1017XY1 BOXER NIÑO T E,BOXER,LINEA UNDERWARE HOMBRE,1017XY1,XY
0201032800,101XYP   PACK POR DOS,BOXER,LINEA UNDERWARE HOMBRE,101XYP,XY
0201032810,1020XY BOXER NIÑO,BOXER,LINEA UNDERWARE HOMBRE,1020XY,XY
0201032820,1020XY1 BOXER NIÑO T E,BOXER,LINEA UNDERWARE HOMBRE,1020XY1,XY
0201032830,1090XY BOXER NIÑO,BOXER,LINEA UNDERWARE HOMBRE,1090XY,XY
0201032840,1090XY1 BOXER NIÑO T E,BOXER,LINEA UNDERWARE HOMBRE,1090XY1,XY
0201032850,1303XY NO DISP,BOXER,LINEA UNDERWARE HOMBRE,1303XY,XY
0201032860,1304XY NO DISP,BOXER,LINEA UNDERWARE HOMBRE,1304XY,XY
0201032870,1311XY TS AL XL,BOXER,LINEA UNDERWARE HOMBRE,1311XY,XY
0201032880,1311XY1 TXXL,BOXER,LINEA UNDERWARE HOMBRE,1311XY1,XY
0201032890,1312XY BOXER,BOXER,LINEA UNDERWARE HOMBRE,1312XY,XY
0201032900,1312XY1 BOXER,BOXER,LINEA UNDERWARE HOMBRE,1312XY1,XY
0201032910,1313XY BOXER,BOXER,LINEA UNDERWARE HOMBRE,1313XY,XY
0201032920,1313XY1 BOXER,BOXER,LINEA UNDERWARE HOMBRE,1313XY1,XY
0201032930,1314XY BOXER,BOXER,LINEA UNDERWARE HOMBRE,1314XY,XY
0201032940,1314XY1 BOXER,BOXER,LINEA UNDERWARE HOMBRE,1314XY1,XY
0201032950,1315XY BOXER,BOXER,LINEA UNDERWARE HOMBRE,1315XY,XY
0201032960,1315XY1 BOXER,BOXER,LINEA UNDERWARE HOMBRE,1315XY1,XY
0201032970,1317XY BOXER,BOXER,LINEA UNDERWARE HOMBRE,1317XY,XY
0201032980,1317XY1 BOXER,BOXER,LINEA UNDERWARE HOMBRE,1317XY1,XY
0201032990,1319XY TS AL TXL,BOXER,LINEA UNDERWARE HOMBRE,1319XY,XY
0201033000,1319XY1 TXXL,BOXER,LINEA UNDERWARE HOMBRE,1319XY1,XY
0201033010,1328XY,BOXER,LINEA UNDERWARE HOMBRE,1328XY,XY
0201033020,1330XY TS AL TXL,BOXER,LINEA UNDERWARE HOMBRE,1330XY,XY
0201033030,1330XY1 TXXL,BOXER,LINEA UNDERWARE HOMBRE,1330XY1,XY
0201033040,1335XY,BOXER,LINEA UNDERWARE HOMBRE,1335XY,XY
0201033050,1340XY NO DISP,BOXER,LINEA UNDERWARE HOMBRE,1340XY,XY
0201033060,1341XY TS al TXL,BOXER,LINEA UNDERWARE HOMBRE,1341XY,XY
0201033070,1341XY1 T XXL,BOXER,LINEA UNDERWARE HOMBRE,1341XY1,XY
0201033080,1358XY,BOXER,LINEA UNDERWARE HOMBRE,1358XY,XY
0201033090,1360XY,BOXER,LINEA UNDERWARE HOMBRE,1360XY,XY
0201033100,1370XY,BOXER,LINEA UNDERWARE HOMBRE,1370XY,XY
0201033110,1401XY,BOXER,LINEA UNDERWARE HOMBRE,1401XY,XY
0201033120,2150XY NO DISP,BOXER,LINEA UNDERWARE HOMBRE,2150XY,XY
0201033130,2300XY SLIP,BOXER,LINEA UNDERWARE HOMBRE,2300XY,XY
0201033140,2300XY1 SLIP,BOXER,LINEA UNDERWARE HOMBRE,2300XY1,XY
0201033150,4040XY,BOXER,LINEA UNDERWARE HOMBRE,4040XY,XY
0201033160,5053XY BOXER LARGO AUT,BOXER,LINEA UNDERWARE HOMBRE,5053XY,XY
0201033170,5054XY BOXER LARGO PERRITOS,BOXER,LINEA UNDERWARE HOMBRE,5054XY,XY
0201033180,5055XY BOXER LARGO MONITOS,BOXER,LINEA UNDERWARE HOMBRE,5055XY,XY
0201033190,5056XY T2 AL T12,BOXER,LINEA UNDERWARE HOMBRE,5056XY,XY
0201037210,1330XY TS BLANCO,BOXER,LINEA UNDERWARE HOMBRE,13301002,XY
0201037220,1330XY TM AZUL,BOXER,LINEA UNDERWARE HOMBRE,13302009,XY
0201037230,1330XY TL BLANCO,BOXER,LINEA UNDERWARE HOMBRE,13303006,XY
0201037240,1330XY TXL AZUL,BOXER,LINEA UNDERWARE HOMBRE,13304003,XY
0201037250,1330XY TXXL AZUL,BOXER,LINEA UNDERWARE HOMBRE,13305000,XY
0201037260,1332XY TL ROMBO,BOXER,LINEA UNDERWARE HOMBRE,13323004,XY
0201037270,1332XY TM ROMBO,BOXER,LINEA UNDERWARE HOMBRE,13322007,XY
0201037280,1332XY TS ROMBO,BOXER,LINEA UNDERWARE HOMBRE,13321000,XY
0201037290,1332XY TXL ROMBO,BOXER,LINEA UNDERWARE HOMBRE,13324001,XY
0201037300,1332XY TXXL ROMBO,BOXER,LINEA UNDERWARE HOMBRE,13325008,XY
0201037320,7000XY CALZA,CALZA,LINEA UNDERWARE HOMBRE,7000XY,XY
0201037330,1096XY1 BOXER NIÑO T14,BOXER,LINEA UNDERWARE HOMBRE,1096XY1,XY
0201037340,1390XY TXXXL,BOXER,LINEA UNDERWARE HOMBRE,13906009,XY
0201037350,1311XY TS,BOXER,LINEA UNDERWARE HOMBRE,13111007,XY
0201037360,1322XY BOXER XY,BOXER,LINEA UNDERWARE HOMBRE,1322XY,XY
0201037370,7000XY TXXL CALZA,CALZA,LINEA UNDERWARE HOMBRE,70005004,XY
0201037380,5056XY T2 BOXER LAR NIÑO,BOXER,LINEA UNDERWARE HOMBRE,50560008,XY
0201037390,5056XY T14 BOXER LAR NIÑO,BOXER,LINEA UNDERWARE HOMBRE,50561403,XY
