cod_articulo,Descripcion,Desc_adicional,Familia,Codigo_barras,marca
0105027270,580F ESPECIAL,BOMBACHA,LENCERIA,580F,fairuz
0105027280,588F ESPECIAL,BOMBACHA,LENCERIA,588F,fairuz
0105027290,630F COLALESS,BOMBACHA,LENCERIA,630F,fairuz
0105027300,650F COLALESS,BOMBACHA,LENCERIA,650F,fairuz
0105027310,660F TIRO CORTO,BOMBACHA,LENCERIA,660F,fairuz
0105027320,670F UNIVERSAL,BOMBACHA,LENCERIA,670F,fairuz
0105027330,680F ESPECIAL,BOMBACHA,LENCERIA,680F,fairuz
0105027340,900F CULOTTE,BOMBACHA,LENCERIA,900F,fairuz
0105027350,1285F,BOMBACHA,LENCERIA,1285F,fairuz
0105027360,554F VEDETINA,BOMBACHA,LENCERIA,554F,fairuz
0105027370,564F BOMB TIRO CORTO,BOMBACHA,LENCERIA,564F,fairuz
0105027380,600PF PACK X3,BOMBACHA,LENCERIA,600PF,fairuz
0105027390,101F,BOMBACHA,LENCERIA,101F,fairuz
0105027400,102F,BOMBACHA,LENCERIA,102F,fairuz
0105027410,515F CULOTELESS,BOMBACHA,LENCERIA,515F,fairuz
0106000660,501F BOXER,BOXER,LENCERIA,501F,fairuz
0107000020,333F BABYDOL TUL BORDADO,BABY DOL,LENCERIA,333F,fairuz
0108000110,330F PORTALIGA POLLERA DE PUNT,PORTALIGAS,LENCERIA,330F,fairuz
0108000120,331F PORTALIGA PUNTILLA REGULA,PORTALIGAS,LENCERIA,331F,fairuz
0111001180,335F CAMISOLIN,CAMISOLIN,LENCERIA,335F,fairuz
0112014990,500PF PACK X3,PACK,LENCERIA,500PF,fairuz
0112015000,530PF COLALESS PACK X3,PACK,LENCERIA,530PF,fairuz
0112015010,533PF COLALESS PACK X3,PACK,LENCERIA,533PF,fairuz
0112015020,534PF COLALESS PACK X3,PACK,LENCERIA,534PF,fairuz
0112017860,532F PACK X3 UNICO,COLALESS,LENCERIA,532F3UN,fairuz
0708000010,440F MEDIAS PORTALIGAS,PORTALIGAS,MEDIAS,440F,fairuz
0708000020,700F MEDIA FAIRUZ,CANCAN,MEDIAS,700F,fairuz
