Cod_articulo,Descripcion,Desc_adicional,Familia,Codigo_Barras
0201002140,5018BR TM OCEANO,BOXER,LINEA UNDERWARE HOMBRE,5018MED095
0201002150,5018BR TS ROJO,BOXER,LINEA UNDERWARE HOMBRE,5018SMA004
0201002160,5018BR TS ESMERALDA,BOXER,LINEA UNDERWARE HOMBRE,5018SMA014
0201002170,5018BR TS LIMA,BOXER,LINEA UNDERWARE HOMBRE,5018SMA068
0201002180,5018BR TS OCEANO,BOXER,LINEA UNDERWARE HOMBRE,5018SMA095
0201002190,5019BR T S AL XL,BOXER,LINEA UNDERWARE HOMBRE,5019BR
0201002200,5019BR TXL MELANGE,BOXER,LINEA UNDERWARE HOMBRE,5019EXL013
0201002210,5019BR TXL AZUL,BOXER,LINEA UNDERWARE HOMBRE,5019EXL015
0201002220,5019BR TXL FRANCIA,BOXER,LINEA UNDERWARE HOMBRE,5019EXL051
0201002230,5019BR TL MELANGE,BOXER,LINEA UNDERWARE HOMBRE,5019LAR013
0201002240,5019BR TL AZUL,BOXER,LINEA UNDERWARE HOMBRE,5019LAR015
0201002250,5019BR TL FRANCIA,BOXER,LINEA UNDERWARE HOMBRE,5019LAR051
0201002260,5019BR TM MELANGE,BOXER,LINEA UNDERWARE HOMBRE,5019MED013
0201002270,5019BR TM AZUL,BOXER,LINEA UNDERWARE HOMBRE,5019MED015
0201002280,5019BR TM FRANCIA,BOXER,LINEA UNDERWARE HOMBRE,5019MED051
0201002290,5019BR TS MELANGE,BOXER,LINEA UNDERWARE HOMBRE,5019SMA013
0201002300,5019BR TS AZUL,BOXER,LINEA UNDERWARE HOMBRE,5019SMA015
0201002310,5019BR TS FRANCIA,BOXER,LINEA UNDERWARE HOMBRE,5019SMA051
0201002320,5019BR TS MELANGE,BOXER,LINEA UNDERWARE HOMBRE,5019SMA13
0201002330,5019BR TXXL MELANGE,BOXER,LINEA UNDERWARE HOMBRE,5019XXL013
0201002340,5019BR TXXL AZUL,BOXER,LINEA UNDERWARE HOMBRE,5019XXL015
0201002350,5019BR TXXL MARINO,BOXER,LINEA UNDERWARE HOMBRE,5019XXL016
0201002360,5019BR TXXL FRANCIA,BOXER,LINEA UNDERWARE HOMBRE,5019XXL051
0201002370,5020BR TXL MORA,BOXER,LINEA UNDERWARE HOMBRE,5020EXL045
0201002380,5020BR TXL ACQUA,BOXER,LINEA UNDERWARE HOMBRE,5020EXL050
0201002390,5020BR TXL BLUE,BOXER,LINEA UNDERWARE HOMBRE,5020EXL061
0201002400,5020BR TXL MANGO,BOXER,LINEA UNDERWARE HOMBRE,5020EXL107
0201002410,5020BR TL MORA,BOXER,LINEA UNDERWARE HOMBRE,5020LAR045
0201002420,5020BR TL ACQUA,BOXER,LINEA UNDERWARE HOMBRE,5020LAR050
0201002430,5020BR TL BLUE,BOXER,LINEA UNDERWARE HOMBRE,5020LAR061
0201002440,5020BR TL MANGO,BOXER,LINEA UNDERWARE HOMBRE,5020LAR107
0201002450,5020BR TM MORA,BOXER,LINEA UNDERWARE HOMBRE,5020MED045
0201002460,5020BR TM ACQUA,BOXER,LINEA UNDERWARE HOMBRE,5020MED050
0201002470,5020BR TM BLUE,BOXER,LINEA UNDERWARE HOMBRE,5020MED061
0201002480,5020BR TM MANGO,BOXER,LINEA UNDERWARE HOMBRE,5020MED107
0201002490,5020BR TS MORA,BOXER,LINEA UNDERWARE HOMBRE,5020SMA045
0201002500,5020BR TS ACQUA,BOXER,LINEA UNDERWARE HOMBRE,5020SMA050
0201002510,5020BR TS BLUE,BOXER,LINEA UNDERWARE HOMBRE,5020SMA061
0201002520,5020BR TS MANGO,BOXER,LINEA UNDERWARE HOMBRE,5020SMA107
0201002530,5021BR TXL FRANCIA,BOXER,LINEA UNDERWARE HOMBRE,5021EXL051
0201002540,5021BR TXL TOPO,BOXER,LINEA UNDERWARE HOMBRE,5021EXL062
0201002550,5021BR TXL CANARIO,BOXER,LINEA UNDERWARE HOMBRE,5021EXL078
0201002560,5021BR TXL OCEANO,BOXER,LINEA UNDERWARE HOMBRE,5021EXL096
0201002570,5021BR TL FRANCIA,BOXER,LINEA UNDERWARE HOMBRE,5021LAR051
0201002580,5021BR TL TOPO,BOXER,LINEA UNDERWARE HOMBRE,5021LAR062
0201002590,5021BR TL CANARIO,BOXER,LINEA UNDERWARE HOMBRE,5021LAR078
0201002600,5021BR TL OCEANO,BOXER,LINEA UNDERWARE HOMBRE,5021LAR096
0201002610,5021BR TM FRANCIA,BOXER,LINEA UNDERWARE HOMBRE,5021MED051
0201002620,5021BR TM TOPO,BOXER,LINEA UNDERWARE HOMBRE,5021MED062
0201002630,5021BR TM CANARIO,BOXER,LINEA UNDERWARE HOMBRE,5021MED078
0201002640,5021BR TM OCEANO,BOXER,LINEA UNDERWARE HOMBRE,5021MED096
0201002650,5021BR TS FRANCIA,BOXER,LINEA UNDERWARE HOMBRE,5021SMA051
